Industry,Company,Financial_Metric,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Heavy_Investment_Years
Automobiles,ASHOKLEY,Net,1895.0181821584704,1267.7212123274803,-20,752,841,-668,205,549,421,-707,550,-122,3309,,
Automobiles,BAJAJ-AUTO,Net,-432.2727274,-621,-66,90,238,-532,488,140,-630,231,417,-692,319,,
Automobiles,EICHERMOT,Net,-388,-121,-329,-106.9709977,-4,-10,75,623,-673,51,-50,8,45,,
Automobiles,HEROMOTOCO,Net,89.2181818112731,51.29090908169746,-66,86,-53,-1,57,78,97,-31,-94,45,379,,
Automobiles,M&M,Net,622.2727273926139,684,810,-1633,-154,416,1529,1672,-1394,-1370,113,6,1037,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI,Net,197.27272720634937,-39,-76,-45,16,-20,50,113,-165,20,-6,780,874,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS,Net,-493.0454549,-2499,4277,4500,-2589,-3167,730,6843,-3092,13232,6459,-6272,8128,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,Net,Net-Average,212.92337661675575,-182.4268398,647.1428571428571,520.4327146166137,-243.5714286,-568.8571429,447.7142857142857,1431.142857142857,-776.5714286,1632.2857142857142,1055.571428571429,-892.4285714,2013,,
Automobiles,Net,Net-Median,89.2181818112731,-39,-66,86,-4,-20,205,549,-630,20,113,6,874,,
Automobiles,ASHOKLEY,Heavy_Investment_Flag,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Automobiles,BAJAJ-AUTO,Heavy_Investment_Flag,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Automobiles,EICHERMOT,Heavy_Investment_Flag,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Automobiles,HEROMOTOCO,Heavy_Investment_Flag,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Automobiles,M&M,Heavy_Investment_Flag,0,0,0,0,0,0,0,1,1,1,1,1,0,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI,Heavy_Investment_Flag,1,1,1,1,1,1,1,0,0,0,0,0,1,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS,Heavy_Investment_Flag,1,1,1,1,1,1,1,1,1,1,1,1,1,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,Heavy_Investment_Flag,Heavy_Investment_Flag-Average,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,,
Automobiles,Heavy_Investment_Flag,Heavy_Investment_Flag-Median,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Automobiles,ASHOKLEY,Cash from Operating Activity,-2947.363638,-1833.909092,-104,95,-1275,270,1462,-3745,383,-1065,2845,-4499,-6258,,
Automobiles,BAJAJ-AUTO,Cash from Operating Activity,3124.272727191448,2218,3502,2114,3690,3267,4328,2487,3850,3120,4197,5277,6558,,
Automobiles,EICHERMOT,Cash from Operating Activity,496,716,1047,1102.0498840026555,1463,1708,2482,1575,1694,1691,1527,2823,3724,,
Automobiles,HEROMOTOCO,Cash from Operating Activity,2686.727272707969,2816.9090908914804,2963,2186,3722,4007,4017,1032,5518,4110,2104,2614,4923,,
Automobiles,M&M,Cash from Operating Activity,-4684.90909,-922,-244,1055,2385,183,682,-4347,-1457,17909,9248,-7074,-5630,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI,Cash from Operating Activity,6380.363635599613,4059,4995,6449,8482,10282,11788,6601,3496,8856,1840,10815,16801,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS,Cash from Operating Activity,43980.72727012634,22163,36151,35531,37900,30199,23857,18891,26633,29001,14283,35388,67915,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,Cash from Operating Activity,Cash from Operating Activity-Average,7005.116882437574,4173.857142637883,6901.428571428572,6933.149983428951,8052.428571428572,7130.857142857143,6945.142857142857,3213.428571428572,5731,9088.857142857143,5149.142857142857,6477.714285714285,12576.142857142857,,
Automobiles,Cash from Operating Activity,Cash from Operating Activity-Median,2686.727272707969,2218,2963,2114,3690,3267,4017,1575,3496,4110,2845,2823,4923,,
Automobiles,ASHOKLEY,Cash from Investing Activity,1062.745455533266,528.9333341121674,-378,-124,456,-1676,-3163,1897,-1201,-973,-1917,-2904,1135,,
Automobiles,BAJAJ-AUTO,Cash from Investing Activity,-1380.25,-1394,-2072,-380,-68,-3610,-1954,-273,1766,-2869,276,1211,-72,,
Automobiles,EICHERMOT,Cash from Investing Activity,-773,-790,-1214,-1043.474478,-1001,-1744,-2145,-660,-1508,-1625,-983,-2397,-2834,,
Automobiles,HEROMOTOCO,Cash from Investing Activity,-1239.563636,-1271.963636,-1616,31,-2300,-1972,-1858,1298,-2819,-2289,-222,-421,-1828,,
Automobiles,M&M,Cash from Investing Activity,-312.7954555,-2903,-4524,-4357,-5506,-5875,-5467,-7174,-6870,-19686,-3252,-8866,-5615,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI,Cash from Investing Activity,-5947.045455,-3119,-4997,-4491,-7230,-9173,-8302,-3540,-557,-7291,-239,-8820,-11865,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS,Cash from Investing Activity,-26764,-22969,-27991,-36232,-36694,-39571,-25139,-20878,-33115,-25672,-4444,-15417,-22782,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,Cash from Investing Activity,Cash from Investing Activity-Average,-5050.558441,-4559.718615,-6113.142857,-6656.639211,-7477.571429,-9088.714286,-6861.142857,-4190,-6329.142857,-8629.285714,-1540.142857,-5373.428571,-6265.857143,,
Automobiles,Cash from Investing Activity,Cash from Investing Activity-Median,-1239.563636,-1394,-2072,-1043.474478,-2300,-3610,-3163,-660,-1508,-2869,-983,-2904,-2834,,
Automobiles,ASHOKLEY,Cash from Financing Activity,3778.4363631010056,2571.79393863678,461,781,1660,738,1905,2398,1239,1331,-378,7281,8432,,
Automobiles,BAJAJ-AUTO,Cash from Financing Activity,-2176.25,-1445,-1496,-1644,-3384,-190,-1885,-2074,-6247,-20,-4056,-7181,-6167,,
Automobiles,EICHERMOT,Cash from Financing Activity,-111,-47,-162,-165.7331787,-466,25,-262,-292,-858,-15,-593,-417,-844,,
Automobiles,HEROMOTOCO,Cash from Financing Activity,-1359.527273,-1494.793939,-1414,-2131,-1475,-2036,-2102,-2252,-2602,-1852,-1975,-2147,-2717,,
Automobiles,M&M,Cash from Financing Activity,5618.454544365406,4508,5577,1669,2967,6108,6314,13194,6933,406,-5883,15946,12281,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI,Cash from Financing Activity,-236.295455,-979,-74,-2004,-1237,-1129,-3436,-2948,-3104,-1545,-1607,-1214,-4062,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS,Cash from Financing Activity,-17709.43181,-1692,-3883,5201,-3795,6205,2012,8830,3390,9904,-3380,-26243,-37006,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,Cash from Financing Activity,Cash from Financing Activity-Average,-1742.230519,203.14285702950187,-141.5714286,243.75240304587143,-818.5714286,1388.7142857142858,363.7142857142857,2408,-178.4285714,1172.7142857142858,-2553.142857,-1996.428571,-4297.571429,,
Automobiles,Cash from Financing Activity,Cash from Financing Activity-Median,-236.295455,-979,-162,-165.7331787,-1237,25,-262,-292,-858,-15,-1975,-1214,-2717,,
Automobiles,ASHOKLEY,Net Cash Flow,1895.0181821584704,1267.7212123274803,-20,752,841,-668,205,549,421,-707,550,-122,3309,,
Automobiles,BAJAJ-AUTO,Net Cash Flow,-432.2727274,-621,-66,90,238,-532,488,140,-630,231,417,-692,319,,
Automobiles,EICHERMOT,Net Cash Flow,-388,-121,-329,-106.9709977,-4,-10,75,623,-673,51,-50,8,45,,
Automobiles,HEROMOTOCO,Net Cash Flow,89.2181818112731,51.29090908169746,-66,86,-53,-1,57,78,97,-31,-94,45,379,,
Automobiles,M&M,Net Cash Flow,622.2727273926139,684,810,-1633,-154,416,1529,1672,-1394,-1370,113,6,1037,,"2019, 2020, 2021, 2022, 2023"
Automobiles,MARUTI,Net Cash Flow,197.27272720634937,-39,-76,-45,16,-20,50,113,-165,20,-6,780,874,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024"
Automobiles,TATAMOTORS,Net Cash Flow,-493.0454549,-2499,4277,4500,-2589,-3167,730,6843,-3092,13232,6459,-6272,8128,,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Automobiles,Net Cash Flow,Net Cash Flow-Average,212.92337661675575,-182.4268398,647.1428571428571,520.4327146166137,-243.5714286,-568.8571429,447.7142857142857,1431.142857142857,-776.5714286,1632.2857142857142,1055.571428571429,-892.4285714,2013,,
Automobiles,Net Cash Flow,Net Cash Flow-Median,89.2181818112731,-39,-66,86,-4,-20,205,549,-630,20,113,6,874,,
Banking,AXISBANK,OCF,,2573,14464,-15162,-34495,32209,-38390,37125,30416,12633,28137,22075,-5555,,"2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Banking,BANKBARODA,OCF,,23196,42233,17838,-10011,17865,-59692,-1449,18531,-887,6210,-21354,-6274,,
Banking,CANBK,OCF,,8010,14244,6344,9346,2575,-11120,18237,-5289,59118,919,-39978,15046,,
Banking,FEDERALBNK,OCF,,2880,1197,5158,-1557,3431,-5051,7873,3731,11179,-7774,489,6431,,
Banking,HDFCBANK,OCF,,-5847,4211,-21281,-34435,17282,17214,-62872,-16869,42476,-11960,20814,19069,,
Banking,ICICIBANK,OCF,,17494,6765,-12273,23645,52636,19383,48671,79565,138015,58111,-3771,157284,,"2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Banking,IDFCFIRSTB,OCF,,7159.196420371532,7681.101184427738,8109.113091051578,8443.232140243053,14128,-5978,17364,10966,14042,2679,3563,11543,,"2013, 2014, 2015, 2016, 2017, 2024"
Banking,INDUSINDBK,OCF,,-42170.91031,-29152.44756,-18141.73806,-2927,11569,-20700,-6389,-12907,44976,16672,-12442,-16925,,
Banking,KOTAKBANK,OCF,,2878,9068,2302,5025,13222,-10392,1822,46619,4881,8308,-1242,15685,,"2017, 2020, 2021"
Banking,PNB,OCF,,-692,16906,4814,14167,21938,-1742,-33532,-12793,30950,20032,22592,-27939,,
Banking,SBIN,OCF,,24332,19142,26297,14477,77406,-96508,29556,23929,89919,57695,-86014,21632,,
Banking,YESBANK,OCF,,541,4436,-2317,-304,4384,-21810,-24573,-57721,55396,23598,-25816,9645,,"2016, 2018, 2019, 2022, 2023, 2024"
Banking,OCF,OCF-Average,,3362.77384266754,9266.221135263642,140.61458619932333,-718.8139883,22387.08333333333,-19565.5,2652.75,9014.833333333334,41891.5,16885.583333333332,-10090.33333,16636.833333333332,,
Banking,OCF,OCF-Median,,2879,8374.55059221387,3558,2360.5,15705,-10756,4847.5,7348.5,36713,12490,-2506.5,10594,,
Banking,AXISBANK,CAPEX,,-10939,-14166,-7972,9211,-12458,-10007,-18674,-9485,-54288,-27112,-32351,-9001,,"2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Banking,BANKBARODA,CAPEX,,-514,-730,-556,-4005,-551,-414,-2537,-139,-471,-3645,-1096,-1285,,
Banking,CANBK,CAPEX,,-435,-380,-1104,-443,-476,-487,-745,-445,-1116,-1429,-1156,-1750,,
Banking,FEDERALBNK,CAPEX,,-3487,-737,-1364,1990,-2384,-1579,-3378,-4688,-3913,901,-9860,-8912,,
Banking,HDFCBANK,CAPEX,,-902,-1099,-800,-837,-1146,-842,-1503,-1403,-1823,-2051,-2992,16600,,
Banking,ICICIBANK,CAPEX,,-18563,-15750,-13175,-12060,-1711,-50551,-30282,-42095,-63631,-39448,-67689,-144737,,"2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Banking,IDFCFIRSTB,CAPEX,,-18376.19644,-13421.45834,-9337.922626,-6125.589291,-4918,-1027,-494,-3790,-2833,-2960,-11996,-9887,,"2013, 2014, 2015, 2016, 2017, 2024"
Banking,INDUSINDBK,CAPEX,,-1756.757572,-1234.166664,-798.1666645,-258,-285,-217,-633,1445,-324,-395,-481,-703,,
Banking,KOTAKBANK,CAPEX,,-9035,-1130,-4467,-2353,-5289,-5475,-3323,-13068,-11172,-10903,-10381,-8919,,"2017, 2020, 2021"
Banking,PNB,CAPEX,,-600,-302,-872,-1352,159,392,-629,-338,-787,-1204,-732,-1506,,
Banking,SBIN,CAPEX,,-2271,-791,-3424,-2747,-4572,13053,220,-555,-3670,-2652,-966,-3476,,
Banking,YESBANK,CAPEX,,-6742,-2785,-3591,-4023,-4478,-8738,-6235,14128,441,-14566,-13026,-12453,,"2016, 2018, 2019, 2022, 2023, 2024"
Banking,CAPEX,CAPEX-Average,,-6135.079501,-4377.135417,-3955.090774,-1916.882441,-3175.75,-5491,-5684.416667,-5036.083333,-11965.58333,-8788.666667,-12727.16667,-15502.41667,,
Banking,CAPEX,CAPEX-Median,,-2879,-1114.5,-2394,-1852.5,-2047.5,-934.5,-2020,-979,-2328,-2806,-6426,-6194,,
Banking,AXISBANK,FCF,,13512,28630,-7190,-43706,44667,-28383,55799,39901,66921,55249,54426,3446,,"2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Banking,BANKBARODA,FCF,,23710,42963,18394,-6006,18416,-59278,1088,18670,-416,9855,-20258,-4989,,
Banking,CANBK,FCF,,8445,14624,7448,9789,3051,-10633,18982,-4844,60234,2348,-38822,16796,,
Banking,FEDERALBNK,FCF,,6367,1934,6522,-3547,5815,-3472,11251,8419,15092,-8675,10349,15343,,
Banking,HDFCBANK,FCF,,-4945,5310,-20481,-33598,18428,18056,-61369,-15466,44299,-9909,23806,2469,,
Banking,ICICIBANK,FCF,,36057,22515,902,35705,54347,69934,78953,121660,201646,97559,63918,302021,,"2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Banking,IDFCFIRSTB,FCF,,25535.39285939932,21102.559526264668,17447.035716831684,14568.821431100368,19046,-4951,17858,14756,16875,5639,15559,21430,,"2013, 2014, 2015, 2016, 2017, 2024"
Banking,INDUSINDBK,FCF,,-40414.15274,-27918.2809,-17343.57139,-2669,11854,-20483,-5756,-14352,45300,17067,-11961,-16222,,
Banking,KOTAKBANK,FCF,,11913,10198,6769,7378,18511,-4917,5145,59687,16053,19211,9139,24604,,"2017, 2020, 2021"
Banking,PNB,FCF,,-92,17208,5686,15519,21779,-2134,-32903,-12455,31737,21236,23324,-26433,,
Banking,SBIN,FCF,,26603,19933,29721,17224,81978,-109561,29336,24484,93589,60347,-85048,25108,,
Banking,YESBANK,FCF,,7283,7221,1274,3719,8862,-13072,-18338,-71849,54955,38164,-12790,22098,,"2016, 2018, 2019, 2022, 2023, 2024"
Banking,FCF,FCF-Average,,9497.853343561292,13643.356552387277,4095.705360392729,1198.0684525916977,25562.83333333333,-14074.5,8337.166666666666,14050.916666666666,53857.083333333336,25674.25,2636.833333333333,32139.25,,
Banking,FCF,FCF-Median,,10179,15916,6104,5548.5,18469.5,-7792,8198,11587.5,44799.5,18139,9744,16069.5,,
Banking,AXISBANK,FCF_Rank,,8,7,10,12,5,11,2,6,1,3,4,9,,"2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Banking,BANKBARODA,FCF_Rank,,2,1,5,10,4,12,7,3,8,6,11,9,,
Banking,CANBK,FCF_Rank,,6,4,7,5,8,11,2,10,1,9,12,3,,
Banking,FEDERALBNK,FCF_Rank,,7,9,6,11,8,10,3,5,2,12,4,1,,
Banking,HDFCBANK,FCF_Rank,,7,5,10,11,3,4,12,9,1,8,2,6,,
Banking,ICICIBANK,FCF_Rank,,9,11,12,10,8,6,5,3,2,4,7,1,,"2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Banking,IDFCFIRSTB,FCF_Rank,,1,3,6,10,4,12,5,9,7,11,8,2,,"2013, 2014, 2015, 2016, 2017, 2024"
Banking,INDUSINDBK,FCF_Rank,,12,11,9,4,3,10,5,7,1,2,6,8,,
Banking,KOTAKBANK,FCF_Rank,,6,7,10,9,4,12,11,1,5,3,8,2,,"2017, 2020, 2021"
Banking,PNB,FCF_Rank,,8,5,7,6,3,9,12,10,1,4,2,11,,
Banking,SBIN,FCF_Rank,,6,9,4,10,2,12,5,8,1,3,11,7,,
Banking,YESBANK,FCF_Rank,,5,6,8,7,4,10,11,12,1,2,9,3,,"2016, 2018, 2019, 2022, 2023, 2024"
Banking,FCF_Rank,FCF_Rank-Average,,6.416666666666667,6.5,7.833333333333333,8.75,4.666666666666667,9.916666666666666,6.666666666666667,6.916666666666667,2.583333333333333,5.583333333333333,7,5.166666666666667,,
Banking,FCF_Rank,FCF_Rank-Median,,6.5,6.5,7.5,10,4,10.5,5,7.5,1,4,7.5,4.5,,
Banking,AXISBANK,Financing_CF,,14931,7785,31045,22495,-2487,41342,5643,8865,7279,47894,6641,22341,,"2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Banking,BANKBARODA,Financing_CF,,-790,5151,-6,-616,-198,3413,4449,14729,-986,-998,-5405,5476,,
Banking,CANBK,Financing_CF,,-1043,-3771,-1464,-806,124,2865,-1185,7792,290,4035,445,-3834,,
Banking,FEDERALBNK,Financing_CF,,795,349,-3544,205,985,8371,-3637,3661,-208,8193,6038,3871,,
Banking,HDFCBANK,Financing_CF,,13105,9270,18694,37815,-5893,57378,23131,24394,-7321,48124,23941,-3983,,
Banking,ICICIBANK,Financing_CF,,9283,7872,24827,5814,-35470,39676,-19997,2992,-54667,17451,24791,13765,,"2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Banking,IDFCFIRSTB,Financing_CF,,7073.80357837677,3192.136910200119,30.31547975540161,-2411.660712,-6974,6742,-12220,-12539,-9598,10211,6509,-2954,,"2013, 2014, 2015, 2016, 2017, 2024"
Banking,INDUSINDBK,Financing_CF,,-9481.760139,-4503.395212,-443.9761713,2517,-2768,15505,8590,12733,-4096,-4302,1115,-2242,,
Banking,KOTAKBANK,Financing_CF,,7099,-5814,2426,2024,6055,14679,8365,-735,-10072,7543,1883,15515,,"2017, 2020, 2021"
Banking,PNB,Financing_CF,,-694,2129,7451,5975,-9767,7460,13969,13591,5415,2032,1275,3518,,
Banking,SBIN,Financing_CF,,-4424,3583,-1553,4348,-4196,5547,448,5430,7143,-3845,6386,-9896,,
Banking,YESBANK,Financing_CF,,6681,176,7574,4989,11429,35748,33039,25038,-34942,8391,11450,2771,,"2016, 2018, 2019, 2022, 2023, 2024"
Banking,Financing_CF,Financing_CF-Average,,3544.5869533022246,2118.228474875292,7086.361609041691,6862.361607333024,-4096.666667,19893.83333333333,5049.583333333333,8829.25,-8480.25,12060.75,7089.083333333333,3695.6666666666665,,
Banking,Financing_CF,Financing_CF-Median,,3738,2660.5684551000595,1228.1577398777008,3432.5,-2627.5,11525,5046,8328.5,-2541,7868,6212,3144.5,,
Banking,AXISBANK,Net,,6566,8082,7910,-2789,17263,-7055,24094,29795,-34375,48919,-3636,7785,,"2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
Banking,BANKBARODA,Net,,21892,46654,17276,-14632,17116,-56692,462,33120,-2344,1567,-27855,-2084,,
Banking,CANBK,Net,,6532,10092,3776,8096,2224,-8743,16307,2059,58291,3525,-40689,9462,,
Banking,FEDERALBNK,Net,,188,808,250,639,2032,1741,858,2704,7058,1320,-3332,1390,,
