Industry,Company,Financial_Metric,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Automobiles,TVSMOTOR,Eps In Rs,,,,,,,,4.16,3.92,6.91,9.03,10.76,13.73,14.83,13.15,12.51,15.93,27.97,35.5
Automobiles,TVSMOTOR,Expenses,,,,,,,,7072.0,7892.0,9650.0,10558.0,11591.0,14769.0,17997.0,16585.0,17189.0,21601.0,27947.0,33645.0
Automobiles,TVSMOTOR,Interest,,,,,,,,103.0,80.0,62.0,70.0,60.0,338.0,663.0,855.0,881.0,940.0,1368.0,1928.0
Automobiles,TVSMOTOR,Other Income,,,,,,,,130.0,44.0,80.0,93.0,163.0,71.0,25.0,12.0,36.0,-5.0,136.0,106.0
Automobiles,TVSMOTOR,Pat,,,,,,,,198.0,187.0,328.0,429.0,509.0,665.0,725.0,647.0,608.0,731.0,1309.0,1779.0
Automobiles,TVSMOTOR,Pbt,,,,,,,,290.0,307.0,444.0,580.0,658.0,931.0,1083.0,865.0,822.0,1067.0,1936.0,2703.0
Automobiles,TVSMOTOR,Revenue,,,,,,,,7510.0,8384.0,10256.0,11377.0,12463.0,16340.0,20160.0,18849.0,19421.0,24355.0,31974.0,39145.0
Automobiles,ASHOKLEY,Net Margin %,,,,,,,,,-1.87,-1.31,3.35,7.14,6.12,6.61,2.1,-0.36,-1.09,3.26,5.89
Automobiles,BAJAJ-AUTO,Net Margin %,,,,,,,,15.65,16.79,14.01,17.99,18.75,16.74,16.23,17.42,17.51,18.6,16.62,17.18
Automobiles,EICHERMOT,Net Margin %,,,,,,,7.43,7.71,8.03,,21.68,23.7,21.86,22.49,19.96,15.45,16.28,20.18,24.2
Automobiles,EICHERMOT,Revenue CAGR %,,,,,,,,,,,,,,,,,,,8.25
Automobiles,EICHERMOT,PAT CAGR %,,,,,,,,,,,,,,,,,,,19.43
Automobiles,HEROMOTOCO,Net Margin %,,,,,,,,,8.32,8.58,10.94,12.39,11.47,10.2,12.51,9.48,7.88,8.2,9.9
Automobiles,M&M,Net Margin %,,,,,,,,6.01,6.96,4.73,4.69,4.84,8.64,5.75,-0.43,2.04,8.04,9.38,8.82
Automobiles,MARUTI,Net Margin %,,,,,,,,5.58,6.41,7.5,9.55,11.03,9.87,8.89,7.5,6.24,4.39,6.98,9.51
Automobiles,TATAMOTORS,Net Margin %,,,,,,,,5.28,6.03,5.35,4.28,2.8,3.12,-9.51,-4.59,-5.36,-4.06,0.78,7.26
Automobiles,TVSMOTOR,Net Margin %,,,,,,,,2.64,2.23,3.2,3.77,4.08,4.07,3.6,3.43,3.13,3.0,4.09,4.54
Automobiles,SECTOR_Automobiles,Sector Net Margin %,,,,,,,7.43,6.08,6.62,5.81,6.12,5.94,6.48,-0.25,1.0,0.44,1.8,4.94,8.58
Banking,AXISBANK,Depreciation,,,,,,,,359.0,375.0,420.0,461.0,527.0,591.0,737.0,806.0,976.0,1046.0,13146.0,1388.0
Banking,AXISBANK,Eps In Rs,,,,,,,,22.37,26.86,31.42,35.04,16.51,1.78,19.59,6.57,23.49,45.99,35.16,85.49
Banking,AXISBANK,Expenses,,,,,,,,8538.0,9944.0,11521.0,13869.0,24327.0,29717.0,28020.0,35976.0,32621.0,31216.0,30641.0,40032.0
Banking,AXISBANK,Financing Profit,,,,,,,,1151.0,2089.0,2865.0,3196.0,-5941.0,-10706.0,-5860.0,-10256.0,-2851.0,2707.0,13418.0,11336.0
Banking,AXISBANK,Interest,,,,,,,,17513.0,18703.0,21341.0,24344.0,26789.0,27604.0,33883.0,37996.0,34627.0,34923.0,43389.0,61391.0
Banking,AXISBANK,Other Income,,,,,,,,6833.0,7766.0,8838.0,9955.0,12422.0,11863.0,14189.0,16342.0,13577.0,17268.0,18349.0,25230.0
Banking,AXISBANK,Pat,,,,,,,,5235.0,6311.0,7450.0,8358.0,3967.0,464.0,5047.0,1879.0,7252.0,14207.0,10919.0,26492.0
Banking,AXISBANK,Pbt,,,,,,,,7625.0,9479.0,11283.0,12690.0,5954.0,566.0,7592.0,5280.0,9750.0,18929.0,18621.0,35178.0
Banking,AXISBANK,Revenue,,,,,,,,27202.0,30736.0,35727.0,41409.0,45175.0,46614.0,56044.0,63716.0,64397.0,68846.0,87448.0,112759.0
Banking,BANKBARODA,Depreciation,,,,,,,,322.0,368.0,368.0,525.0,540.0,901.0,948.0,1697.0,1357.0,1438.0,2040.0,1702.0
Banking,BANKBARODA,Eps In Rs,,,,,,,,22.81,23.29,17.69,-21.99,7.88,-7.13,4.16,2.01,2.99,15.18,28.82,36.29
Banking,BANKBARODA,Expenses,,,,,,,,10950.0,12049.0,13466.0,25391.0,19250.0,26093.0,25815.0,40583.0,38070.0,37518.0,38231.0,44379.0
Banking,BANKBARODA,Financing Profit,,,,,,,,1006.0,809.0,902.0,-11700.0,-4372.0,-9197.0,-5414.0,-11728.0,-6957.0,-2948.0,6329.0,4102.0
Banking,BANKBARODA,Interest,,,,,,,,24486.0,27604.0,30547.0,32107.0,29596.0,29160.0,32506.0,50040.0,43201.0,38815.0,49942.0,69899.0
Banking,BANKBARODA,Other Income,,,,,,,,4511.0,5555.0,5449.0,5992.0,7937.0,7992.0,7887.0,12191.0,14687.0,14395.0,16275.0,23399.0
Banking,BANKBARODA,Pat,,,,,,,,4829.0,5036.0,3950.0,-5033.0,1855.0,-1836.0,1166.0,981.0,1620.0,7933.0,15005.0,18869.0
Banking,BANKBARODA,Pbt,,,,,,,,5195.0,5996.0,5983.0,-6233.0,3024.0,-2106.0,1525.0,-1234.0,6373.0,10008.0,20565.0,25799.0
Banking,BANKBARODA,Revenue,,,,,,,,36442.0,40463.0,44915.0,45799.0,44473.0,46056.0,52906.0,78895.0,74314.0,73385.0,94503.0,118379.0
Banking,CANBK,Depreciation,,,,,,,,191.0,230.0,429.0,172.0,331.0,456.0,429.0,446.0,838.0,841.0,1021.0,902.0
Banking,CANBK,Eps In Rs,,,,,,,,12.19,10.37,10.96,-8.73,4.55,-10.78,1.6,-3.86,3.51,6.75,12.41,16.84
Banking,CANBK,Expenses,,,,,,,,7217.0,9636.0,10302.0,17785.0,15691.0,25582.0,27202.0,26809.0,43437.0,41235.0,42772.0,46146.0
Banking,CANBK,Financing Profit,,,,,,,,655.0,-672.0,-621.0,-8008.0,-5775.0,-13350.0,-11590.0,-12867.0,-18367.0,-13657.0,-9877.0,-7745.0
Banking,CANBK,Interest,,,,,,,,26198.0,30606.0,34133.0,34263.0,31540.0,29113.0,32339.0,35817.0,45182.0,43035.0,52990.0,72118.0
Banking,CANBK,Other Income,,,,,,,,3308.0,4144.0,4733.0,5266.0,7852.0,7398.0,9907.0,11799.0,23086.0,23643.0,25325.0,28646.0
Banking,CANBK,Pat,,,,,,,,2995.0,2672.0,2931.0,-2535.0,1411.0,-3873.0,696.0,-1921.0,2957.0,6158.0,11345.0,15401.0
Banking,CANBK,Pbt,,,,,,,,3771.0,3242.0,3683.0,-2914.0,1746.0,-6408.0,-2111.0,-1514.0,3882.0,9145.0,14427.0,20000.0
Banking,CANBK,Revenue,,,,,,,,34070.0,39570.0,43813.0,44039.0,41457.0,41345.0,47951.0,49759.0,70253.0,70614.0,85885.0,110519.0
Banking,FEDERALBNK,Depreciation,,,,,,,,82.0,98.0,79.0,108.0,124.0,125.0,122.0,126.0,115.0,139.0,182.0,234.0
Banking,FEDERALBNK,Eps In Rs,,,,,,,,4.98,4.97,6.17,2.83,5.03,4.74,6.63,7.93,8.34,9.37,14.95,15.93
Banking,FEDERALBNK,Expenses,,,,,,,,1410.0,1664.0,1701.0,2529.0,2749.0,3331.0,3572.0,4608.0,5527.0,5758.0,5828.0,6792.0
Banking,FEDERALBNK,Financing Profit,,,,,,,,628.0,614.0,731.0,38.0,382.0,358.0,747.0,304.0,352.0,664.0,2009.0,2278.0
Banking,FEDERALBNK,Interest,,,,,,,,4209.0,4728.0,5056.0,5259.0,5653.0,6226.0,7316.0,8678.0,8435.0,7959.0,9975.0,14495.0
Banking,FEDERALBNK,Other Income,,,,,,,,665.0,685.0,879.0,808.0,1084.0,1160.0,1335.0,1882.0,1972.0,2121.0,2436.0,3216.0
Banking,FEDERALBNK,Pat,,,,,,,,853.0,850.0,1058.0,486.0,867.0,935.0,1318.0,1590.0,1680.0,1996.0,3210.0,3964.0
Banking,FEDERALBNK,Pbt,,,,,,,,1210.0,1202.0,1530.0,739.0,1342.0,1393.0,1960.0,2060.0,2209.0,2646.0,4263.0,5261.0
Banking,FEDERALBNK,Revenue,,,,,,,,6246.0,7006.0,7488.0,7826.0,8783.0,9915.0,11635.0,13590.0,14314.0,14382.0,17812.0,23565.0
Banking,HDFCBANK,Depreciation,,,,,,,,663.0,689.0,680.0,738.0,886.0,967.0,1221.0,1277.0,1385.0,1681.0,2345.0,3092.0
Banking,HDFCBANK,Eps In Rs,,,,,,,,14.44,18.22,21.32,25.32,29.81,35.66,41.0,49.7,57.74,68.62,82.44,84.33
Banking,HDFCBANK,Expenses,,,,,,,,12631.0,13508.0,16164.0,20055.0,23856.0,29532.0,34856.0,45459.0,52457.0,56557.0,63042.0,174196.0
Banking,HDFCBANK,Financing Profit,,,,,,,,3534.0,5602.0,7214.0,9037.0,11374.0,13374.0,16592.0,14593.0,16848.0,20795.0,29932.0,-44685.0
Banking,HDFCBANK,Interest,,,,,,,,19695.0,23445.0,27288.0,34070.0,38042.0,42381.0,53713.0,62137.0,59248.0,58584.0,77780.0,154139.0
Banking,HDFCBANK,Other Income,,,,,,,,7133.0,8298.0,9546.0,11212.0,12905.0,16057.0,18947.0,24879.0,27333.0,31759.0,33912.0,124346.0
Banking,HDFCBANK,Pat,,,,,,,,6903.0,8768.0,10703.0,12821.0,15317.0,18561.0,22446.0,27296.0,31857.0,38151.0,46149.0,65446.0
Banking,HDFCBANK,Pbt,,,,,,,,10004.0,13211.0,16079.0,19511.0,23393.0,28464.0,34318.0,38195.0,42796.0,50873.0,61498.0,76569.0
Banking,HDFCBANK,Revenue,,,,,,,,35861.0,42555.0,50666.0,63162.0,73271.0,85288.0,105161.0,122189.0,128552.0,135936.0,170754.0,283649.0
Banking,ICICIBANK,Depreciation,,,,,,,,625.0,719.0,798.0,843.0,912.0,922.0,946.0,1171.0,1340.0,1330.0,1515.0,1935.0
Banking,ICICIBANK,Eps In Rs,,,,,,,,15.14,17.38,19.2,15.92,15.9,12.0,6.6,14.78,26.58,36.14,48.74,63.02
Banking,ICICIBANK,Expenses,,,,,,,,31684.0,32852.0,38766.0,52252.0,63841.0,72806.0,83775.0,85361.0,91309.0,80798.0,87864.0,99560.0
Banking,ICICIBANK,Financing Profit,,,,,,,,-15085.0,-13084.0,-16120.0,-26955.0,-37737.0,-44906.0,-50971.0,-45190.0,-44805.0,-26558.0,-17341.0,-14152.0
Banking,ICICIBANK,Interest,,,,,,,,28285.0,29711.0,32318.0,33996.0,34836.0,34262.0,39178.0,44666.0,42659.0,41167.0,50543.0,74108.0
Banking,ICICIBANK,Other Income,,,,,,,,29320.0,30085.0,35252.0,42102.0,52458.0,56807.0,59325.0,64950.0,72174.0,62129.0,65112.0,76522.0
Banking,ICICIBANK,Pat,,,,,,,,10130.0,11677.0,12942.0,10927.0,11340.0,9100.0,5689.0,11225.0,20364.0,26538.0,35461.0,46081.0
Banking,ICICIBANK,Pbt,,,,,,,,13610.0,16282.0,18334.0,14304.0,13809.0,10978.0,7408.0,18589.0,26028.0,34241.0,46256.0,60434.0
Banking,ICICIBANK,Revenue,,,,,,,,44885.0,49479.0,54964.0,59294.0,60940.0,62162.0,71982.0,84836.0,89163.0,95407.0,121067.0,159516.0
Banking,IDFCFIRSTB,Depreciation,,,,,,,,,,,,136.0,168.0,2820.0,320.0,343.0,382.0,435.0,631.0
Banking,IDFCFIRSTB,Eps In Rs,,,,,,,,,,,,3.0,2.58,-3.99,-5.91,0.85,0.21,3.75,4.16
Banking,IDFCFIRSTB,Expenses,,,,,,,,,,,,1432.0,1789.0,4702.0,9760.0,8733.0,12323.0,13338.0,17899.0
Banking,IDFCFIRSTB,Financing Profit,,,,,,,,,,,,631.0,184.0,-1241.0,-3748.0,-1350.0,-2615.0,-701.0,-1444.0
Banking,IDFCFIRSTB,Interest,,,,,,,,,,,,6515.0,7126.0,8743.0,10228.0,8585.0,7465.0,10091.0,13870.0
Banking,IDFCFIRSTB,Other Income,,,,,,,,,,,,1019.0,1120.0,824.0,1722.0,2211.0,3173.0,4467.0,5932.0
Banking,IDFCFIRSTB,Pat,,,,,,,,,,,,1019.0,880.0,-1908.0,-2843.0,483.0,132.0,2485.0,2942.0
Banking,IDFCFIRSTB,Pbt,,,,,,,,,,,,1514.0,1135.0,-3237.0,-2346.0,519.0,175.0,3331.0,3857.0
Banking,IDFCFIRSTB,Revenue,,,,,,,,,,,,8578.0,9098.0,12204.0,16240.0,15968.0,17173.0,22728.0,30325.0
Banking,INDUSINDBK,Depreciation,,,,,,,,,,,157.0,191.0,212.0,229.0,291.0,328.0,352.0,407.0,463.0
Banking,INDUSINDBK,Eps In Rs,,,,,,,,,,,38.43,47.95,60.08,54.77,64.28,37.89,62.03,95.93,115.34
Banking,INDUSINDBK,Expenses,,,,,,,,,,,4188.0,5684.0,6555.0,9284.0,12544.0,15772.0,15624.0,15425.0,17569.0
Banking,INDUSINDBK,Financing Profit,,,,,,,,,,,329.0,379.0,942.0,-438.0,-485.0,-2244.0,-623.0,2167.0,3046.0
Banking,INDUSINDBK,Interest,,,,,,,,,,,7355.0,8343.0,9783.0,13415.0,16724.0,15472.0,15822.0,18776.0,25132.0
Banking,INDUSINDBK,Other Income,,,,,,,,,,,3297.0,4171.0,4750.0,5647.0,6953.0,6501.0,7408.0,8173.0,9396.0
Banking,INDUSINDBK,Pat,,,,,,,,,,,2287.0,2868.0,3606.0,3301.0,4458.0,2930.0,4805.0,7444.0,8977.0
Banking,INDUSINDBK,Pbt,,,,,,,,,,,3469.0,4360.0,5481.0,4980.0,6177.0,3929.0,6433.0,9932.0,11979.0
Banking,INDUSINDBK,Revenue,,,,,,,,,,,11872.0,14406.0,17281.0,22261.0,28783.0,29000.0,30822.0,36368.0,45748.0
Banking,KOTAKBANK,Depreciation,,,,,,,,179.0,208.0,237.0,345.0,362.0,383.0,458.0,465.0,461.0,480.0,599.0,792.0
Banking,KOTAKBANK,Eps In Rs,,,,,,,,14.66,16.0,19.72,18.86,26.84,32.54,37.74,44.92,50.41,60.91,75.13,91.62
Banking,KOTAKBANK,Expenses,,,,,,,,6603.0,7053.0,9718.0,11541.0,14832.0,16805.0,19758.0,22578.0,29812.0,30699.0,33485.0,47052.0
Banking,KOTAKBANK,Financing Profit,,,,,,,,-1789.0,-1379.0,-3366.0,-2263.0,-3965.0,-4141.0,-5114.0,-5005.0,-9958.0,-8512.0,-5746.0,-13382.0
Banking,KOTAKBANK,Interest,,,,,,,,6024.0,6312.0,6966.0,11123.0,11458.0,12467.0,15187.0,15901.0,12967.0,11554.0,14411.0,22567.0
Banking,KOTAKBANK,Other Income,,,,,,,,5112.0,5282.0,8152.0,7631.0,11660.0,13682.0,16148.0,16892.0,23588.0,24941.0,25991.0,38037.0
Banking,KOTAKBANK,Pat,,,,,,,,2238.0,2527.0,3105.0,3524.0,5019.0,6258.0,7204.0,8593.0,9990.0,12089.0,14925.0,18213.0
Banking,KOTAKBANK,Pbt,,,,,,,,3144.0,3695.0,4550.0,5024.0,7332.0,9158.0,10576.0,11422.0,13168.0,15948.0,19646.0,23863.0
Banking,KOTAKBANK,Revenue,,,,,,,,10838.0,11986.0,13319.0,20402.0,22324.0,25131.0,29831.0,33474.0,32820.0,33741.0,42151.0,56237.0
Banking,PNB,Depreciation,,,,,,,,336.0,367.0,384.0,413.0,430.0,581.0,584.0,614.0,982.0,896.0,905.0,906.0
Banking,PNB,Eps In Rs,,,,,,,,28.03,19.98,18.33,-18.79,5.58,-43.88,-20.79,0.65,2.45,3.51,3.04,8.27
Banking,PNB,Expenses,,,,,,,,12456.0,16112.0,18760.0,27453.0,22533.0,43345.0,39645.0,25867.0,38601.0,36026.0,41502.0,39623.0
Banking,PNB,Financing Profit,,,,,,,,2812.0,626.0,-1394.0,-10980.0,-7197.0,-28151.0,-22153.0,-7946.0,-7470.0,-6607.0,-6473.0,908.0
Banking,PNB,Interest,,,,,,,,27802.0,28220.0,31343.0,34331.0,32722.0,33530.0,34656.0,36997.0,50805.0,46823.0,51817.0,68534.0
Banking,PNB,Other Income,,,,,,,,4310.0,4710.0,6175.0,6100.0,9168.0,8883.0,7367.0,9388.0,12777.0,12329.0,12529.0,14158.0
Banking,PNB,Pat,,,,,,,,5020.0,3674.0,3525.0,-3510.0,1239.0,-12111.0,-9550.0,485.0,2695.0,3908.0,3359.0,9157.0
Banking,PNB,Pbt,,,,,,,,6786.0,4969.0,4397.0,-5293.0,1540.0,-19849.0,-15370.0,827.0,4325.0,4826.0,5151.0,14160.0
Banking,PNB,Revenue,,,,,,,,43071.0,44958.0,48710.0,50804.0,48058.0,48725.0,52147.0,54918.0,81935.0,76242.0,86845.0,109065.0
